rep,CRI_pcmci,F1_pcmci,CRI_naive,F1_naive,FPR_naive,FPR_pcmci
0,0.5815597718576488,1.0,0.9999662267161746,0.4,1.0,0.0
1,0.7060430942937148,0.8333333333333334,0.9995112579346136,0.4,1.0,0.05555555555555555
2,0.6085189643935724,1.0,0.999990904108777,0.4,1.0,0.0
3,0.6512549876663469,1.0,0.9653419677066777,0.42857142857142855,0.8888888888888888,0.0
4,0.6566746753009156,1.0,0.9999410941761853,0.4,1.0,0.0
5,0.6272170701429494,1.0,0.9999985683282723,0.4,1.0,0.0
6,0.6734249566438049,0.923076923076923,0.9999680721571361,0.4,1.0,0.05555555555555555
7,0.6286646794054633,1.0,0.9999789943591141,0.4,1.0,0.0
8,0.5775160365600698,1.0,0.9966906543443039,0.41379310344827586,0.9444444444444444,0.0
9,0.6565514452851204,1.0,0.9999999412539127,0.4,1.0,0.0
10,0.7160198711120067,1.0,0.9999995060952727,0.4,1.0,0.0
11,0.6297320689722186,0.923076923076923,0.9999999999992251,0.4,1.0,0.05555555555555555
