rep,T,CRI_mci,F1
0,150,0.5583679419886223,0.9090909090909091
0,300,0.6691851379746847,0.8
0,600,0.5815597718576488,1.0
1,150,0.49435937140167996,0.7272727272727272
1,300,0.6523452900610125,0.8
1,600,0.7060430942937148,0.8333333333333334
2,150,0.5584585324995976,0.8
2,300,0.6579885145716091,0.9090909090909091
2,600,0.6085189643935724,1.0
3,150,0.5759625012853904,0.8
3,300,0.5731982445486403,1.0
3,600,0.6512549876663469,1.0
4,150,0.5665208038159493,0.2857142857142857
4,300,0.608862278107523,0.9090909090909091
4,600,0.6566746753009156,1.0
5,150,0.6077409180781148,0.8
5,300,0.4989877628954492,0.8
5,600,0.6272170701429494,1.0
6,150,0.6768215360385462,0.6666666666666666
6,300,0.5354513340430733,0.8
6,600,0.6734249566438049,0.923076923076923
7,150,0.5642405968819415,0.2857142857142857
7,300,0.6491644760438651,0.9090909090909091
7,600,0.6286646794054633,1.0
8,150,0.5606516072831496,0.5
8,300,0.5780482281456674,1.0
8,600,0.5775160365600698,1.0
9,150,0.5479829904755915,0.25
9,300,0.6973960399647987,0.8
9,600,0.6565514452851204,1.0
10,150,0.6308553911950336,0.8
10,300,0.5794838841910215,0.9090909090909091
10,600,0.7160198711120067,1.0
11,150,0.6018484472067762,0.8
11,300,0.5466577326183049,0.9090909090909091
11,600,0.6297320689722186,0.923076923076923
